id,name,team,has_data
74390269-f96f-4598-831d-ef1a4d7d36d9,小林誠司,読売ジャイアンツ,True
4980002d-dd30-4a8e-a801-eccb2ce10757,大城卓三,読売ジャイアンツ,True
6fbd5c2f-9f92-4acd-bcb6-7cde9e6a3ea3,岸田行倫,読売ジャイアンツ,True
7ec7a403-ad8d-4de0-bbaf-ba10b3844c46,山瀬慎之助,読売ジャイアンツ,True
bb4eab35-eff6-4ef1-a637-022f61f15c84,喜多隆介,読売ジャイアンツ,True
daf21b44-dbda-4963-9a49-1e4e537645a9,坂本勇人（捕手）,読売ジャイアンツ,False
75a01ef3-3c7f-48c6-adc2-3c38b014ef48,大津綾也,読売ジャイアンツ,False
443076f4-a4de-4482-9856-b5795faa172f,亀田啓太,読売ジャイアンツ,False
ecace2c4-6b17-43eb-87bd-bd27ffde1f6f,前田研輝,読売ジャイアンツ,False
6c8e144b-1259-4d43-9472-ffa45f174f7f,萩原哲,読売ジャイアンツ,False
cc9cf9e2-3b04-40d4-83d3-58bb38f0793c,湯浅大,読売ジャイアンツ,True
ec524243-2ef4-40ff-8bd9-3303abff5016,増田大輝,読売ジャイアンツ,True
593ba8a4-e509-4231-9bbf-b98b4a7afbf1,吉川尚輝,読売ジャイアンツ,True
b3f2db47-636d-4e71-9434-351a92135f5e,中島宏之,読売ジャイアンツ,True
3c0bdd45-e813-4cbd-9d2d-b325d81aea3a,坂本勇人（内野手）,読売ジャイアンツ,True
145c6bc5-89a1-4811-bc77-e80eca0f6c9b,中田翔,読売ジャイアンツ,True
16f7915e-c0b3-4bed-a242-79865e236110,岡本和真,読売ジャイアンツ,True
6a9df6ff-7a4e-433c-8c09-e06eb6acecd4,廣岡大志,読売ジャイアンツ,True
9a84c69c-7c05-407b-a146-fb0dd479374b,若林晃弘,読売ジャイアンツ,True
d6bce953-8c69-42d0-abcd-233bd3579fab,中山礼都,読売ジャイアンツ,True
7eae00d0-79b2-47ce-a45d-6f6d2916fd54,北村拓己,読売ジャイアンツ,True
fc16c3ce-4558-4874-9ff1-4f1bf361ed1b,秋広優人,読売ジャイアンツ,True
5b1bdfe6-4013-421b-9345-e896688fac3c,菊田拡和,読売ジャイアンツ,False
44c69a47-3eb4-474e-8ad4-a6b3c18031ca,増田陸,読売ジャイアンツ,True
d1336107-4271-4e48-9c8d-e24f1d4bfde7,香月一也,読売ジャイアンツ,True
8bed92a2-f6b1-42f2-a7c2-6f53dac67099,松田宣浩,読売ジャイアンツ,True
9c5eaf48-5c26-42fb-80d7-f40136a83189,加藤廉,読売ジャイアンツ,False
d8b1cc90-b12e-427c-bee9-18bbbceb55e3,ホセ・デラクルーズ,読売ジャイアンツ,False
df9429c8-ee80-42d9-aadb-9ad2f9488977,岡本大翔,読売ジャイアンツ,False
fea803cc-db1f-4097-ac38-a086a23b6e8c,丸佳浩,読売ジャイアンツ,True
36336990-0726-4cf2-852c-a0044ec02ff7,松原聖弥,読売ジャイアンツ,True
669079b3-ee5c-4629-8b3a-6c0a07ff920c,グレゴリー・ポランコ,読売ジャイアンツ,True
baab98ab-6579-4d2a-9aaf-f566344576f7,石川慎吾,読売ジャイアンツ,True
b05e87c7-6dab-4a0e-bbd5-ffc38d498d10,岡田悠希,読売ジャイアンツ,True
94910ca0-fcc2-4513-b243-002518ee77ce,重信慎之介,読売ジャイアンツ,True
e910a68a-1fdc-4aec-8128-8d6d8a71c41d,アダム・ウォーカー,読売ジャイアンツ,True
9ee34af7-0963-4c0b-aa2f-57ec296aea4d,長野久義,読売ジャイアンツ,True
8ef9e7c3-da86-48e8-8d13-cfa37d4ff989,鈴木大和,読売ジャイアンツ,False
d99e13c0-4f35-42b9-9846-a09f2d63c8cf,笹原操希,読売ジャイアンツ,False
335eca01-ccd1-4fb5-8652-d72a0a323030,フリアン・ティマ,読売ジャイアンツ,False
5e76970b-758e-4e6f-9b09-fb7d2f629000,保科広一,読売ジャイアンツ,False
dc7f1cc9-d6ae-4115-8437-e9b49a34c20a,梶谷隆幸,読売ジャイアンツ,True
3e7df29a-51dd-4213-b50c-40293c8b0af7,立岡宗一郎,読売ジャイアンツ,True
7470f0b6-02a4-41f5-984c-e5d2b3b9fffb,梅野隆太郎,阪神タイガース,True
7caf9f59-52df-479a-8a75-325215720d74,坂本誠志郎,阪神タイガース,True
a1453460-fbeb-413f-915b-f0f4edaa13a1,榮枝裕貴,阪神タイガース,True
918434c4-6392-4f33-a3dd-367216116c19,長坂拳弥,阪神タイガース,True
f4582f27-4e6d-414f-87bc-0ec29cfde948,藤田健斗,阪神タイガース,False
19280853-da00-46cd-b0b4-a14991e0648f,中川勇斗,阪神タイガース,False
8d215c8f-c6c1-4b1f-9b94-73ceb8f55b07,片山雄哉,阪神タイガース,True
3ce2ac2c-c834-40a7-a3eb-3fe1fa8ffa1e,山本泰寛,阪神タイガース,True
f0a8c38e-bdb1-4f87-a529-ba31d93e95ef,木浪聖也,阪神タイガース,True
9a05d649-9e34-4954-a4bd-5fa6ee3f7f61,大山悠輔,阪神タイガース,True
185b3f6a-0ed6-4d31-860e-eff44734b9f6,熊谷敬宥,阪神タイガース,True
