,id,name,team,has_data
0,f82921e2-b7fd-4287-9fb3-bd7ca79a3fff,若月健矢,オリックス・バファローズ,True
0,5b80b215-e092-494e-98ef-524901cda2d6,伏見寅威,オリックス・バファローズ,True
0,9f4206d9-a907-418f-8d5e-a5b91cc831ee,福永奨,オリックス・バファローズ,True
0,a75f78af-3a62-4e69-98c1-ccd3abb3e0fa,松井雅人,オリックス・バファローズ,True
0,d3a6946f-8cb4-4d0f-ba96-a74dbf020113,頓宮裕真,オリックス・バファローズ,True
0,489ac58b-4f45-4eeb-bd11-d3bd55970fca,中川拓真,オリックス・バファローズ,False
0,2a35bb4d-a7bd-455f-8877-0bf6cf9ee355,釣寿生,オリックス・バファローズ,False
0,ae6cf53e-638d-4f33-a7b4-8f7040d27bf8,甲斐拓也,福岡ソフトバンクホークス,True
0,d98fa422-d202-4351-aa6e-6873bf4c3f6c,牧原巧汰,福岡ソフトバンクホークス,False
0,7945f6a7-3e13-4f39-8d81-d9af6463b2f3,谷川原健太,福岡ソフトバンクホークス,True
0,b4dfecf5-b121-434e-97a6-089753b1b015,海野隆司,福岡ソフトバンクホークス,True
0,fea4b5ed-6bed-4f86-ae89-dc672b184a10,九鬼隆平,福岡ソフトバンクホークス,True
0,abea8414-d211-4510-9de9-7ed28345adf7,渡邉陸,福岡ソフトバンクホークス,False
0,ad0ff8b2-76a9-4cab-8dfb-41ade63343b7,石塚綜一郎,福岡ソフトバンクホークス,False
0,83e7d406-a4ba-46ca-a125-96e2a29b29ab,居谷匠真,福岡ソフトバンクホークス,False
0,2531ad79-2c92-453b-95fe-04bd55a7366d,加藤晴空,福岡ソフトバンクホークス,False
0,488407d1-b9c4-4b57-ad66-b8579424460d,清水優心,北海道日本ハムファイターズ,True
0,ad354e40-9fe3-4a5f-8292-ea61b92aa5f0,古川裕大,北海道日本ハムファイターズ,True
0,be442801-a863-4dae-a1f3-f3e5255d19b8,宇佐見真吾,北海道日本ハムファイターズ,True
0,ef1bc7c9-ac1c-4e1f-9d9f-8832286ae988,郡拓也,北海道日本ハムファイターズ,True
0,1b99043e-0381-46ee-bbb2-a50b1615b039,田宮裕涼,北海道日本ハムファイターズ,True
0,235a4a56-b666-47f2-825d-230529d93611,梅林優貴,北海道日本ハムファイターズ,True
0,1d495585-8e44-46a7-a4f8-dd7c72b1855f,石川亮,北海道日本ハムファイターズ,True
0,a5f0d6d9-06b6-4122-b37c-4e634f81f18c,松川虎生,千葉ロッテマリーンズ,True
0,077ad1a8-95e4-49e4-8a88-419f0e95d283,田村龍弘,千葉ロッテマリーンズ,True
0,c68f28fd-2d30-45a8-b672-c04e0f8a576d,佐藤都志也,千葉ロッテマリーンズ,True
0,96bd3de8-54b7-4906-b5b6-c0c12240ebf8,吉田裕太,千葉ロッテマリーンズ,True
0,808f6e0e-bed4-4daf-bf85-667161fbef14,江村直也,千葉ロッテマリーンズ,True
0,46460c9c-8ef9-4be7-98ac-edf372ce4b60,加藤匠馬,千葉ロッテマリーンズ,True
0,c26d664e-bb19-4a95-a278-8fe5117cf809,植田将太,千葉ロッテマリーンズ,False
0,adfe3d62-447d-42e7-89ad-5f169b92c19f,柿沼友哉,千葉ロッテマリーンズ,True
0,8d5ba908-f058-4894-953b-8afdab26c066,谷川唯人,千葉ロッテマリーンズ,False
0,bf0e1513-fd61-460d-ac11-41c709d58d2a,村山亮介,千葉ロッテマリーンズ,False
0,46ac74bf-0940-4433-85d2-cd139baf7a64,岡田雅利,埼玉西武ライオンズ,True
0,d3843afc-0994-4e84-9ac4-03f992a250b3,森友哉,埼玉西武ライオンズ,True
0,b78eb7f2-16a7-4697-b63d-e135ba637a1a,古賀悠斗,埼玉西武ライオンズ,True
0,22942391-12d5-486c-8b2c-3137f95c9e58,柘植世那,埼玉西武ライオンズ,True
0,07374196-2ea3-47a5-af92-085a24baa121,牧野翔矢,埼玉西武ライオンズ,True
0,ee13dff8-9057-437c-b044-3f3315c5e250,中熊大智,埼玉西武ライオンズ,True
0,9f551b12-469f-4844-9426-e4163dffe1af,齊藤誠人,埼玉西武ライオンズ,True
0,289fc776-49d3-4745-aad2-4eeba1d20871,古市尊,埼玉西武ライオンズ,True
0,6d27588c-b076-4df1-ac7e-8aa999d7df42,太田光,東北楽天ゴールデンイーグルス,True
0,2b425683-87f4-4e72-9c99-106c9f496259,炭谷銀仁朗,東北楽天ゴールデンイーグルス,True
0,1ca843b7-ba33-4e71-afa3-bc99f49ac0e2,田中貴也,東北楽天ゴールデンイーグルス,True
0,1de841aa-21e5-4edb-bee4-e1d25c511db2,安田悠馬,東北楽天ゴールデンイーグルス,True
0,50d77804-fea4-4115-814e-3bdbd18da746,堀内謙伍,東北楽天ゴールデンイーグルス,True
0,1fa89285-52cc-4a13-8345-d8ffe0db2177,石原彪,東北楽天ゴールデンイーグルス,True
0,2c511161-2f7e-4fe0-929f-0b61da88e1c6,水上桂,東北楽天ゴールデンイーグルス,False
0,0d4a63ab-1ffe-4e01-a011-74e98d8ba416,江川侑斗,東北楽天ゴールデンイーグルス,False
